figure_type,figure_no,title_name,variable,flip_sign,variable_rename,regions,models,years,scenarios,type,position,x,y,facet1,facet2,color,page_filter,scales
stackbar,14,Hist Generation Mix,Secondary Energy|Electricity|Gas|w/ CCS,0,Natural Gas,usa,models_eia_only,five_twentyone_inclusive,historic_only,single,stack,year,value,,,variable_rename,region,fixed
stackbar,14,Hist Generation Mix,Secondary Energy|Electricity|Gas|w/o CCS,0,Natural Gas,usa,models_eia_only,five_twentyone_inclusive,historic_only,single,stack,year,value,,,variable_rename,region,fixed
stackbar,14,Hist Generation Mix,Secondary Energy|Electricity|Gas,0,Natural Gas,usa,models_eia_only,five_twentyone_inclusive,historic_only,single,stack,year,value,,,variable_rename,region,fixed
stackbar,14,Hist Generation Mix,Secondary Energy|Electricity|Geothermal,0,Renewables,usa,models_eia_only,five_twentyone_inclusive,historic_only,single,stack,year,value,,,variable_rename,region,fixed
stackbar,14,Hist Generation Mix,Secondary Energy|Electricity|Hydro,0,Renewables,usa,models_eia_only,five_twentyone_inclusive,historic_only,single,stack,year,value,,,variable_rename,region,fixed
stackbar,14,Hist Generation Mix,Secondary Energy|Electricity|Nuclear,0,Nuclear,usa,models_eia_only,five_twentyone_inclusive,historic_only,single,stack,year,value,,,variable_rename,region,fixed
stackbar,14,Hist Generation Mix,Secondary Energy|Electricity|Oil,0,Oil,usa,models_eia_only,five_twentyone_inclusive,historic_only,single,stack,year,value,,,variable_rename,region,fixed
stackbar,14,Hist Generation Mix,Secondary Energy|Electricity|Oil|w/ CCS,0,Oil,usa,models_eia_only,five_twentyone_inclusive,historic_only,single,stack,year,value,,,variable_rename,region,fixed
stackbar,14,Hist Generation Mix,Secondary Energy|Electricity|Oil|w/o CCS,0,Oil,usa,models_eia_only,five_twentyone_inclusive,historic_only,single,stack,year,value,,,variable_rename,region,fixed
stackbar,14,Hist Generation Mix,Secondary Energy|Electricity|Solar,0,Renewables,usa,models_eia_only,five_twentyone_inclusive,historic_only,single,stack,year,value,,,variable_rename,region,fixed
stackbar,14,Hist Generation Mix,Secondary Energy|Electricity|Wind,0,Renewables,usa,models_eia_only,five_twentyone_inclusive,historic_only,single,stack,year,value,,,variable_rename,region,fixed
stackbar,14,Hist Generation Mix,Secondary Energy|Electricity|Other,0,Other,usa,models_eia_only,five_twentyone_inclusive,historic_only,single,stack,year,value,,,variable_rename,region,fixed
stackbar,140,Hist Generation Mix New,Secondary Energy|Electricity|Other|Sum,0,Other,usa,models_eia_only,five_twentyone_inclusive,historic_only,single,stack,year,value,,,variable_rename,region,fixed
stackbar,140,Hist Generation Mix New,Secondary Energy|Electricity|Nuclear|Sum,0,Nuclear,usa,models_eia_only,five_twentyone_inclusive,historic_only,single,stack,year,value,,,variable_rename,region,fixed
stackbar,140,Hist Generation Mix New,Secondary Energy|Electricity|Renewables|Sum,0,Renewables,usa,models_eia_only,five_twentyone_inclusive,historic_only,single,stack,year,value,,,variable_rename,region,fixed
stackbar,140,Hist Generation Mix New,Secondary Energy|Electricity|Coal|Sum,0,Coal,usa,models_eia_only,five_twentyone_inclusive,historic_only,single,stack,year,value,,,variable_rename,region,fixed
stackbar,140,Hist Generation Mix New,Secondary Energy|Electricity|Oil|Sum,0,Oil,usa,models_eia_only,five_twentyone_inclusive,historic_only,single,stack,year,value,,,variable_rename,region,fixed
stackbar,140,Hist Generation Mix New,Secondary Energy|Electricity|Gas|Sum,0,Natural Gas,usa,models_eia_only,five_twentyone_inclusive,historic_only,single,stack,year,value,,,variable_rename,region,fixed
stackbar,15,Electricity Capacity,Capacity|Electricity|Geothermal,0,Geothermal,usa,models_leep,ira_2030_2035,hist_mod_scenarios2,grid,stack,year,value,scenario,model,variable_rename,region,fixed
stackbar,15,Electricity Capacity,Capacity|Electricity|Hydro,0,Hydro,usa,models_leep,ira_2030_2035,hist_mod_scenarios2,grid,stack,year,value,scenario,model,variable_rename,region,fixed
stackbar,15,Electricity Capacity,Capacity|Electricity|Nuclear,0,Nuclear,usa,models_leep,ira_2030_2035,hist_mod_scenarios2,grid,stack,year,value,scenario,model,variable_rename,region,fixed
stackbar,15,Electricity Capacity,Capacity|Electricity|Ocean,0,Ocean,usa,models_leep,ira_2030_2035,hist_mod_scenarios2,grid,stack,year,value,scenario,model,variable_rename,region,fixed
stackbar,15,Electricity Capacity,Capacity|Electricity|Other,0,Other,usa,models_leep,ira_2030_2035,hist_mod_scenarios2,grid,stack,year,value,scenario,model,variable_rename,region,fixed
stackbar,15,Electricity Capacity,Capacity|Electricity|Solar,0,Solar,usa,models_leep,ira_2030_2035,hist_mod_scenarios2,grid,stack,year,value,scenario,model,variable_rename,region,fixed
stackbar,15,Electricity Capacity,Capacity|Electricity|Storage Capacity,0,Storage,usa,models_leep,ira_2030_2035,hist_mod_scenarios2,grid,stack,year,value,scenario,model,variable_rename,region,fixed
