Round,Category,Tier,Variable,Unit,Definition
2,CCS,2,Carbon Sequestration|CCS|Fossil|Energy|Demand|Industry|EInt Mfg|Paper,Mt CO2/yr,total CO2 emissions sequestered from fossil combustion in paper. Report as a NEGATIVE value
2,CCS,2,Carbon Sequestration|CCS|Fossil|Energy|Demand|Industry|Non Mfg,Mt CO2/yr,total CO2 emissions sequestered from fossil combustion in non-manufacturing sectors. Report as a NEGATIVE value
2,CCS,2,Carbon Sequestration|CCS|Fossil|Energy|Supply,Mt CO2/yr,"total carbon dioxide emissions captured from fossil fuel use in energy supply (IPCC category 1A) and stored in geological deposits (e.g. in depleted oil and gas fields, unmined coal seams, saline aquifers) and the deep ocean, stored amounts should be reported as NEGATIVE numbers"
2,CCS,2,Carbon Sequestration|CCS|Fossil|Energy|Supply|Biogas,Mt CO2/yr,total CO2 emissions sequestered from fossil combustion in biogas production. Report as a NEGATIVE value
2,CCS,2,Carbon Sequestration|CCS|Fossil|Energy|Supply|Biomass Liquids,Mt CO2/yr,total CO2 emissions sequestered from fossil combustion in biomass liquids production. Report as a NEGATIVE value
2,CCS,2,Carbon Sequestration|CCS|Fossil|Energy|Supply|Biomass Solids,Mt CO2/yr,total CO2 emissions sequestered from fossil fuel combustion in biomass solids production. Report as a NEGATIVE value
2,CCS,2,Carbon Sequestration|CCS|Fossil|Energy|Supply|Electricity,Mt CO2/yr,total CO2 emissions sequestered from combustion in electricity production. Report as a NEGATIVE value
2,CCS,3,Carbon Sequestration|CCS|Fossil|Energy|Supply|Electricity|New Builds,Mt CO2/yr,total CO2 emissions sequestered from combustion in electricity production (new builds). Report as a NEGATIVE value
2,CCS,3,Carbon Sequestration|CCS|Fossil|Energy|Supply|Electricity|Retrofit,Mt CO2/yr,total CO2 emissions sequestered from combustion in electricity production (retrofit). Report as a NEGATIVE value
2,CCS,2,Carbon Sequestration|CCS|Fossil|Energy|Supply|Heat,Mt CO2/yr,total CO2 emissions sequestered from fossil fuel combustion in heat production. Report as a NEGATIVE value
2,CCS,2,Carbon Sequestration|CCS|Fossil|Energy|Supply|Hydrogen,Mt CO2/yr,total CO2 emissions sequestered from fossil fuel combustion in hydrogen production. Report as a NEGATIVE value
2,CCS,2,Carbon Sequestration|CCS|Fossil|Energy|Supply|Petroleum Refining,Mt CO2/yr,total CO2 emissions sequestered from fossil fuel combustion in petroleum refining. Report as a NEGATIVE value
2,CCS,2,Carbon Sequestration|CCS|Fossil|Energy|Supply|Synthetic Gas,Mt CO2/yr,total CO2 emissions sequestered from fossil fuel combustion in synthetic gas production. Report as a NEGATIVE value
2,CCS,2,Carbon Sequestration|CCS|Fossil|Energy|Supply|Synthetic Liquids,Mt CO2/yr,total CO2 emissions sequestered from fossil fuel combustion in synthetic liquids production. Report as a NEGATIVE value
2,CCS,2,Carbon Sequestration|CCS|Non-Biomass|Industrial Processes,Mt CO2/yr,"total CO2 emissions sequestered from non-combustion non-biomass use in industrial processes, report as a NEGATIVE"
2,CCS,3,Carbon Sequestration|CCS|Non-Biomass|Industrial Processes|EInt Mfg,Mt CO2/yr,total CO2 emissions sequestered from non-combustion non-biomass use in intensive manufacturing. Report as a NEGATIVE value
2,CCS,3,Carbon Sequestration|CCS|Non-Biomass|Industrial Processes|EInt Mfg|Aluminum,Mt CO2/yr,total CO2 emissions sequestered from non-combustion non-biomass use in aluminum manufacturing. Report as a NEGATIVE value
2,CCS,3,Carbon Sequestration|CCS|Non-Biomass|Industrial Processes|EInt Mfg|Bulk chemicals,Mt CO2/yr,total CO2 emissions sequestered from non-combustion non-biomass use in bulk chemical production. Report as a NEGATIVE value
2,CCS,3,Carbon Sequestration|CCS|Non-Biomass|Industrial Processes|EInt Mfg|Cement and Lime,Mt CO2/yr,total CO2 emissions sequestered from non-combustion non-biomass use in cement and lime production. Report as a NEGATIVE value
2,CCS,3,Carbon Sequestration|CCS|Non-Biomass|Industrial Processes|EInt Mfg|Food products,Mt CO2/yr,total CO2 emissions sequestered from non-combustion non-biomass use in food product production. Report as a NEGATIVE value
2,CCS,3,Carbon Sequestration|CCS|Non-Biomass|Industrial Processes|EInt Mfg|Glass,Mt CO2/yr,total CO2 emissions sequestered from non-combustion non-biomass use in glass production. Report as a NEGATIVE value
2,CCS,3,Carbon Sequestration|CCS|Non-Biomass|Industrial Processes|EInt Mfg|Iron and steel,Mt CO2/yr,total CO2 emissions sequestered from non-combustion non-biomass use in iron and steel production. Report as a NEGATIVE value
2,CCS,3,Carbon Sequestration|CCS|Non-Biomass|Industrial Processes|EInt Mfg|Other,Mt CO2/yr,total CO2 emissions sequestered from non-combustion non-biomass use in OTHER production. Report as a NEGATIVE value
2,CCS,3,Carbon Sequestration|CCS|Non-Biomass|Industrial Processes|EInt Mfg|Paper,Mt CO2/yr,total CO2 emissions sequestered from non-combustion non-biomass use in paper production. Report as a NEGATIVE value
2,CCS,2,Carbon Sequestration|Chemical Feedstocks,Mt CO2/yr,"total CO2 sequestered in final products (e.g., lubricants, asphalt, plastics). Report as a NEGATIVE value"
2,CCS,1,Carbon Sequestration|Chemical Feedstocks|Biomass,Mt CO2/yr,"total CO2 sequestered in final products from biomass sources used in chemical processes  (e.g., lubricants, asphalt, plastics). Report as a NEGATIVE value"
2,CCS,3,Carbon Sequestration|Chemical Feedstocks|Fossil,Mt CO2/yr,"total CO2 sequestered in final products from fossil (e.g., lubricants, asphalt, plastics). Report as a NEGATIVE value"
2,CCS,1,Carbon Sequestration|Direct Air Capture|Net,Mt CO2/yr,"NET co2 removed from the atmosphere through DAC, reported as a NEGATIVE value"
2,CCS,1,Carbon Sequestration|Direct Air Capture|Total,Mt CO2/yr,"total injected co2, both co2 out of the atmosphere and co2 captured through DAC w/ CCS, reported as a NEGATIVE value"
2,CCS,1,Carbon Sequestration|LULUCF,Mt CO2/yr,"Net CO2 sequestered through land use, land use change, and forestry. Report as a NEGATIVE value"
2,CCS,3,Carbon Sequestration|LULUCF|Afforestation,Mt CO2/yr,total CO2 sequestered through afforestation. Report as a NEGATIVE value
2,CCS,3,Carbon Sequestration|LULUCF|Biochar,Mt CO2/yr,total CO2 sequestered through biochar. Report as a NEGATIVE value
2,CCS,3,Carbon Sequestration|LULUCF|Other,Mt CO2/yr,"total CO2 sequestered not accounted for in afforestation, biochar, or soil carbon management. Report as a NEGATIVE value"
2,CCS,3,Carbon Sequestration|LULUCF|Soil Carbon Management,Mt CO2/yr,total CO2 sequestered through soil carbon management techniques. Report as a NEGATIVE value
2,CCS,3,Carbon Sequestration|Other,Mt CO2/yr,total carbon dioxide sequestered through other techniques (please provide a definition of other sources in this category in the 'comments' tab). Report as a NEGATIVE value
2,CCS,3,Carbon Utilization|CCS|Synthetic Gas,Mt CO2/yr,total CO2 used to produce synthetic gas.
2,CCS,3,Carbon Utilization|CCS|Synthetic Liquid,Mt CO2/yr,total CO2 used to produce synthetic liquids.
2,CCS,1,CO2 storage,Mt CO2/yr,"CO2 captured and stored in geological deposits (e.g. in depleted oil and gas fields, unmined coal seams, saline aquifers) and the deep ocean, stored amounts should be reported as positive numbers"
2,CCS,3,CO2 storage|Basalt,Mt CO2/yr,CO2 stored in basalt formations
