scenario,model,variable,unit,year,value,region
Reference,NEMS-RHG,Emissions|CO2|Energy|Demand|Buildings,Mt CO2/yr,2035,565.663976,United States
IRA,ReEDS-NREL,Emissions|CO2|Energy|Demand|Buildings,Mt CO2/yr,2035,NA,United States
Reference,ReEDS-NREL,Emissions|CO2|Energy|Demand|Buildings,Mt CO2/yr,2035,NA,United States
IRA,REGEN-EPRI,Emissions|CO2|Energy|Demand|Buildings,Mt CO2/yr,2035,468.5409598,United States
Reference,REGEN-EPRI,Emissions|CO2|Energy|Demand|Buildings,Mt CO2/yr,2035,494.9187157,United States
IRA,RIO-REPEAT,Emissions|CO2|Energy|Demand|Buildings,Mt CO2/yr,2035,531,United States
Reference,RIO-REPEAT,Emissions|CO2|Energy|Demand|Buildings,Mt CO2/yr,2035,630,United States
IRA,EPS-EI,Emissions|CO2|Energy|Supply|Electricity,Mt CO2/yr,2035,336.702,United States
Reference,EPS-EI,Emissions|CO2|Energy|Supply|Electricity,Mt CO2/yr,2035,1198.69,United States
IRA,GCAM-CGS,Emissions|CO2|Energy|Supply|Electricity,Mt CO2/yr,2035,445.5802983,United States
Reference,GCAM-CGS,Emissions|CO2|Energy|Supply|Electricity,Mt CO2/yr,2035,1293.115286,United States
IRA,Haiku-RFF,Emissions|CO2|Energy|Supply|Electricity,Mt CO2/yr,2035,720.8125227,United States
Reference,Haiku-RFF,Emissions|CO2|Energy|Supply|Electricity,Mt CO2/yr,2035,1101.896286,United States
IRA,IPM-NRDC,Emissions|CO2|Energy|Supply|Electricity,Mt CO2/yr,2035,772.5080126,United States
Reference,IPM-NRDC,Emissions|CO2|Energy|Supply|Electricity,Mt CO2/yr,2035,1079.880052,United States
IRA,MARKAL-NETL,Emissions|CO2|Energy|Supply|Electricity,Mt CO2/yr,2035,824.71,United States
Reference,MARKAL-NETL,Emissions|CO2|Energy|Supply|Electricity,Mt CO2/yr,2035,1430.05,United States
IRA,NEMS-RHG,Emissions|CO2|Energy|Supply|Electricity,Mt CO2/yr,2035,588.5355894,United States
Reference,NEMS-RHG,Emissions|CO2|Energy|Supply|Electricity,Mt CO2/yr,2035,906.2442278,United States
IRA,ReEDS-NREL,Emissions|CO2|Energy|Supply|Electricity,Mt CO2/yr,2035,395.1542409,United States
Reference,ReEDS-NREL,Emissions|CO2|Energy|Supply|Electricity,Mt CO2/yr,2035,1342.3774,United States
IRA,REGEN-EPRI,Emissions|CO2|Energy|Supply|Electricity,Mt CO2/yr,2035,500.0375196,United States
Reference,REGEN-EPRI,Emissions|CO2|Energy|Supply|Electricity,Mt CO2/yr,2035,1097.150355,United States
IRA,RIO-REPEAT,Emissions|CO2|Energy|Supply|Electricity,Mt CO2/yr,2035,368,United States
Reference,RIO-REPEAT,Emissions|CO2|Energy|Supply|Electricity,Mt CO2/yr,2035,775,United States
IRA,EPS-EI,Emissions|CO2|Energy|Demand|Industry,Mt CO2/yr,2035,753.265733,United States
Reference,EPS-EI,Emissions|CO2|Energy|Demand|Industry,Mt CO2/yr,2035,835.90834,United States
IRA,GCAM-CGS,Emissions|CO2|Energy|Demand|Industry,Mt CO2/yr,2035,1063.692604,United States
Reference,GCAM-CGS,Emissions|CO2|Energy|Demand|Industry,Mt CO2/yr,2035,1222.121748,United States
IRA,Haiku-RFF,Emissions|CO2|Energy|Demand|Industry,Mt CO2/yr,2035,NA,United States
Reference,Haiku-RFF,Emissions|CO2|Energy|Demand|Industry,Mt CO2/yr,2035,NA,United States
IRA,IPM-NRDC,Emissions|CO2|Energy|Demand|Industry,Mt CO2/yr,2035,NA,United States
Reference,IPM-NRDC,Emissions|CO2|Energy|Demand|Industry,Mt CO2/yr,2035,NA,United States
