"model","scenario","unit","region","category","year","value","value_2005","percent diff 2005"
"GCAM-PNNL","IRA","Mt CO2/yr","United States","Transportation.IRA",2035,1255.05720338779,1863.3,32.6433100741807
"GCAM-PNNL","IRA","Mt CO2/yr","United States","Transportation.IRA",2030,1481.78383,1863.3,20.4752949068856
"GCAM-PNNL","IRA","Mt CO2/yr","United States","Transportation.IRA",2035,1246.42889,1863.3,33.10637632158
"GCAM-PNNL","IRA","Mt CO2/yr","United States","Transportation.IRA",2030,1544.15657,1863.3,17.1278607846294
"GCAM-PNNL","IRA","Mt CO2/yr","United States","Transportation.IRA",2035,1331.05283,1863.3,28.5647598347019
"GCAM-PNNL","IRA","Mt CO2/yr","United States","Transportation.IRA",2030,1504.76477565588,1863.3,19.2419483896376
"GCAM-PNNL","IRA","Mt CO2/yr","United States","Transportation.IRA",2035,1283.05267565183,1863.3,31.1408428244602
"GCAM-PNNL","IRA","Mt CO2/yr","United States","Transportation.IRA",2030,1523.45263,1863.3,18.2390044544625
"GCAM-PNNL","IRA","Mt CO2/yr","United States","Transportation.IRA",2035,1306.02284,1863.3,29.9080749208394
"GCAM-PNNL","IRA","Mt CO2/yr","United States","Transportation.IRA",2030,1462.97875,1863.3,21.4845301347072
"GCAM-PNNL","IRA","Mt CO2/yr","United States","Transportation.IRA",2035,1231.03339,1863.3,33.9326254494714
"GCAM-PNNL","No IRA","Mt CO2/yr","United States","Transportation.No IRA",2030,1561.15556,1863.3,16.2155551977674
"GCAM-PNNL","No IRA","Mt CO2/yr","United States","Transportation.No IRA",2035,1376.82109,1863.3,26.1084586486341
"MARKAL-NETL","IRA","Mt CO2/yr","United States","Transportation.IRA",2030,1493.40111677302,1863.3,19.8518157691721
"MARKAL-NETL","IRA","Mt CO2/yr","United States","Transportation.IRA",2035,1356.21828072744,1863.3,27.2141748120301
"MARKAL-NETL","No IRA","Mt CO2/yr","United States","Transportation.No IRA",2030,1508.56110082758,1863.3,19.0382063635709
"MARKAL-NETL","No IRA","Mt CO2/yr","United States","Transportation.No IRA",2035,1430.38206139489,1863.3,23.2339364892989
"NEMS-EIA","IRA","Mt CO2/yr","United States","Transportation.IRA",2030,1657.054932,1863.3,11.068806311383
"NEMS-EIA","IRA","Mt CO2/yr","United States","Transportation.IRA",2035,1592.773071,1863.3,14.5186995652874
"NEMS-EIA","No IRA","Mt CO2/yr","United States","Transportation.No IRA",2030,1672.112427,1863.3,10.260697311222
"NEMS-EIA","No IRA","Mt CO2/yr","United States","Transportation.No IRA",2035,1615.413452,1863.3,13.3036305479526
