"figure_num","model","scenario","unit","variable","label","year","value"
"E.19.CapacitybyModel","IPM-EPA","No IRA","GW","Capacity|Electricity|Solar","Solar",2030,222.385480893903
"E.19.CapacitybyModel","IPM-EPA","No IRA","GW","Capacity|Electricity|Storage Capacity","Storage",2030,55.545765062
"E.19.CapacitybyModel","IPM-EPA","No IRA","GW","Capacity|Electricity|Wind","Wind",2030,207.622209377
"E.19.CapacitybyModel","IPM-EPA","No IRA","GW","Capacity|Electricity|Biomass|w/o CCS","Biomass w/o CCS",2035,5.984201349
"E.19.CapacitybyModel","IPM-EPA","No IRA","GW","Capacity|Electricity|Coal|w/ CCS","Coal w/ CCS",2035,0.535613579
"E.19.CapacitybyModel","IPM-EPA","No IRA","GW","Capacity|Electricity|Coal|w/o CCS","Coal w/o CCS",2035,87.7590272593254
"E.19.CapacitybyModel","IPM-EPA","No IRA","GW","Capacity|Electricity|Gas|w/ CCS","Gas w/ CCS",2035,3.281163734
"E.19.CapacitybyModel","IPM-EPA","No IRA","GW","Capacity|Electricity|Gas|w/o CCS","Gas w/o CCS",2035,572.222020571788
"E.19.CapacitybyModel","IPM-EPA","No IRA","GW","Capacity|Electricity|Hydro","Hydro",2035,83.155200001
"E.19.CapacitybyModel","IPM-EPA","No IRA","GW","Capacity|Electricity|Nuclear","Nuclear",2035,60.346843619
"E.19.CapacitybyModel","IPM-EPA","No IRA","GW","Capacity|Electricity|Other","Other",2035,6.9493
"E.19.CapacitybyModel","IPM-EPA","No IRA","GW","Capacity|Electricity|Solar","Solar",2035,310.555900379357
"E.19.CapacitybyModel","IPM-EPA","No IRA","GW","Capacity|Electricity|Storage Capacity","Storage",2035,71.43811001
"E.19.CapacitybyModel","IPM-EPA","No IRA","GW","Capacity|Electricity|Wind","Wind",2035,259.693739449
"E.19.CapacitybyModel","IPM-NRDC","IRA","GW","Capacity|Electricity|Biomass|w/o CCS","Biomass w/o CCS",2030,5.951108
"E.19.CapacitybyModel","IPM-NRDC","IRA","GW","Capacity|Electricity|Coal|w/ CCS","Coal w/ CCS",2030,19.667422886
"E.19.CapacitybyModel","IPM-NRDC","IRA","GW","Capacity|Electricity|Coal|w/o CCS","Coal w/o CCS",2030,63.2745814302546
"E.19.CapacitybyModel","IPM-NRDC","IRA","GW","Capacity|Electricity|Gas|w/o CCS","Gas w/o CCS",2030,512.416222601
"E.19.CapacitybyModel","IPM-NRDC","IRA","GW","Capacity|Electricity|Hydro","Hydro",2030,107.136187
"E.19.CapacitybyModel","IPM-NRDC","IRA","GW","Capacity|Electricity|Nuclear","Nuclear",2030,85.1020045960001
"E.19.CapacitybyModel","IPM-NRDC","IRA","GW","Capacity|Electricity|Solar","Solar",2030,162.91057792859
