"model","scenario","year","value","variable","label","figure_num"
"GCAM-CGS","No IRA",2030,56.8,"Electricity Share","Buildings","F.1.1.electricity_share_final_energy"
"GCAM-CGS","No IRA",2035,59,"Electricity Share","Buildings","F.1.1.electricity_share_final_energy"
"NEMS-RHG","No IRA",2025,47.1774872,"Electricity Share","Buildings","F.1.1.electricity_share_final_energy"
"NEMS-RHG","No IRA",2030,47.2241705,"Electricity Share","Buildings","F.1.1.electricity_share_final_energy"
"NEMS-RHG","No IRA",2035,47.9132488,"Electricity Share","Buildings","F.1.1.electricity_share_final_energy"
"RIO-REPEAT","No IRA",2025,48.04,"Electricity Share","Buildings","F.1.1.electricity_share_final_energy"
"RIO-REPEAT","No IRA",2030,49.13,"Electricity Share","Buildings","F.1.1.electricity_share_final_energy"
"RIO-REPEAT","No IRA",2035,50.41,"Electricity Share","Buildings","F.1.1.electricity_share_final_energy"
"EPS-EI","IRA",2020,13,"Electricity Share","Industry","F.1.1.electricity_share_final_energy"
"GCAM-CGS","IRA",2020,13,"Electricity Share","Industry","F.1.1.electricity_share_final_energy"
"NEMS-RHG","IRA",2020,13,"Electricity Share","Industry","F.1.1.electricity_share_final_energy"
"RIO-REPEAT","IRA",2020,13,"Electricity Share","Industry","F.1.1.electricity_share_final_energy"
"EPS-EI","No IRA",2020,13,"Electricity Share","Industry","F.1.1.electricity_share_final_energy"
"GCAM-CGS","No IRA",2020,13,"Electricity Share","Industry","F.1.1.electricity_share_final_energy"
"NEMS-RHG","No IRA",2020,13,"Electricity Share","Industry","F.1.1.electricity_share_final_energy"
"RIO-REPEAT","No IRA",2020,13,"Electricity Share","Industry","F.1.1.electricity_share_final_energy"
"GCAM-PNNL","IRA",2020,13,"Electricity Share","Industry","F.1.1.electricity_share_final_energy"
"OP-NEMS","IRA",2020,13,"Electricity Share","Industry","F.1.1.electricity_share_final_energy"
"USREP-ReEDS","IRA",2020,13,"Electricity Share","Industry","F.1.1.electricity_share_final_energy"
"GCAM-PNNL","No IRA",2020,13,"Electricity Share","Industry","F.1.1.electricity_share_final_energy"
"OP-NEMS","No IRA",2020,13,"Electricity Share","Industry","F.1.1.electricity_share_final_energy"
"USREP-ReEDS","No IRA",2020,13,"Electricity Share","Industry","F.1.1.electricity_share_final_energy"
"EPS-EI","IRA",2025,18.0507704,"Electricity Share","Industry","F.1.1.electricity_share_final_energy"
"EPS-EI","IRA",2030,17.9669787,"Electricity Share","Industry","F.1.1.electricity_share_final_energy"
"EPS-EI","IRA",2035,17.876559,"Electricity Share","Industry","F.1.1.electricity_share_final_energy"
"GCAM-CGS","IRA",2025,15.6,"Electricity Share","Industry","F.1.1.electricity_share_final_energy"
"GCAM-CGS","IRA",2030,18,"Electricity Share","Industry","F.1.1.electricity_share_final_energy"
"GCAM-CGS","IRA",2035,17.7,"Electricity Share","Industry","F.1.1.electricity_share_final_energy"
"NEMS-RHG","IRA",2025,12.5987619,"Electricity Share","Industry","F.1.1.electricity_share_final_energy"
"NEMS-RHG","IRA",2030,12.5682779,"Electricity Share","Industry","F.1.1.electricity_share_final_energy"
"NEMS-RHG","IRA",2035,12.4811021,"Electricity Share","Industry","F.1.1.electricity_share_final_energy"
"RIO-REPEAT","IRA",2025,17.31,"Electricity Share","Industry","F.1.1.electricity_share_final_energy"
"RIO-REPEAT","IRA",2030,17.16,"Electricity Share","Industry","F.1.1.electricity_share_final_energy"
"RIO-REPEAT","IRA",2035,17.03,"Electricity Share","Industry","F.1.1.electricity_share_final_energy"
"EPS-EI","No IRA",2025,17.9396415,"Electricity Share","Industry","F.1.1.electricity_share_final_energy"
"EPS-EI","No IRA",2030,17.7923341,"Electricity Share","Industry","F.1.1.electricity_share_final_energy"
"EPS-EI","No IRA",2035,17.7499523,"Electricity Share","Industry","F.1.1.electricity_share_final_energy"
"GCAM-CGS","No IRA",2025,14.3,"Electricity Share","Industry","F.1.1.electricity_share_final_energy"
"GCAM-CGS","No IRA",2030,14.7,"Electricity Share","Industry","F.1.1.electricity_share_final_energy"
"GCAM-CGS","No IRA",2035,16.6,"Electricity Share","Industry","F.1.1.electricity_share_final_energy"
"NEMS-RHG","No IRA",2025,12.6192722,"Electricity Share","Industry","F.1.1.electricity_share_final_energy"
"NEMS-RHG","No IRA",2030,12.5068488,"Electricity Share","Industry","F.1.1.electricity_share_final_energy"
"NEMS-RHG","No IRA",2035,12.4191518,"Electricity Share","Industry","F.1.1.electricity_share_final_energy"
"RIO-REPEAT","No IRA",2025,17.32,"Electricity Share","Industry","F.1.1.electricity_share_final_energy"
"RIO-REPEAT","No IRA",2030,17.17,"Electricity Share","Industry","F.1.1.electricity_share_final_energy"
"RIO-REPEAT","No IRA",2035,17.05,"Electricity Share","Industry","F.1.1.electricity_share_final_energy"
"GCAM-PNNL","IRA",2025,15.9426748544065,"Electricity Share","Industry","F.1.1.electricity_share_final_energy"
"GCAM-PNNL","IRA",2030,16.8421131204146,"Electricity Share","Industry","F.1.1.electricity_share_final_energy"
"GCAM-PNNL","IRA",2035,17.8456890932754,"Electricity Share","Industry","F.1.1.electricity_share_final_energy"
"OP-NEMS","IRA",2025,14.9086836370806,"Electricity Share","Industry","F.1.1.electricity_share_final_energy"
"OP-NEMS","IRA",2030,15.702213294058,"Electricity Share","Industry","F.1.1.electricity_share_final_energy"
"OP-NEMS","IRA",2035,15.5105410950647,"Electricity Share","Industry","F.1.1.electricity_share_final_energy"
"USREP-ReEDS","IRA",2025,14.1917482959417,"Electricity Share","Industry","F.1.1.electricity_share_final_energy"
"USREP-ReEDS","IRA",2030,14.2380122498313,"Electricity Share","Industry","F.1.1.electricity_share_final_energy"
"USREP-ReEDS","IRA",2035,13.7320838627097,"Electricity Share","Industry","F.1.1.electricity_share_final_energy"
"GCAM-PNNL","No IRA",2025,15.782502938281,"Electricity Share","Industry","F.1.1.electricity_share_final_energy"
"GCAM-PNNL","No IRA",2030,16.9636440356295,"Electricity Share","Industry","F.1.1.electricity_share_final_energy"
"GCAM-PNNL","No IRA",2035,18.8048692435155,"Electricity Share","Industry","F.1.1.electricity_share_final_energy"
"OP-NEMS","No IRA",2025,14.7354503276888,"Electricity Share","Industry","F.1.1.electricity_share_final_energy"
"OP-NEMS","No IRA",2030,14.4733679543496,"Electricity Share","Industry","F.1.1.electricity_share_final_energy"
"OP-NEMS","No IRA",2035,14.2041642854303,"Electricity Share","Industry","F.1.1.electricity_share_final_energy"
"USREP-ReEDS","No IRA",2025,15.0096726056019,"Electricity Share","Industry","F.1.1.electricity_share_final_energy"
"USREP-ReEDS","No IRA",2030,14.7074978439938,"Electricity Share","Industry","F.1.1.electricity_share_final_energy"
"USREP-ReEDS","No IRA",2035,14.1643955494656,"Electricity Share","Industry","F.1.1.electricity_share_final_energy"
